DateID,OrderDate,Year,Month,Day,Quarter
1,2024-02-17,2024,2,17,1
2,2024-03-20,2024,3,20,1
3,2024-12-18,2024,12,18,4
4,2024-09-16,2024,9,16,3
5,2024-09-05,2024,9,5,3
6,2024-05-25,2024,5,25,2
7,2025-05-14,2025,5,14,2
8,2024-08-21,2024,8,21,3
9,2025-01-19,2025,1,19,1
10,2024-03-02,2024,3,2,1
11,2025-05-13,2025,5,13,2
12,2024-12-11,2024,12,11,4
13,2025-02-06,2025,2,6,1
14,2024-01-27,2024,1,27,1
15,2024-04-02,2024,4,2,2
16,2024-11-29,2024,11,29,4
17,2024-11-10,2024,11,10,4
18,2025-01-16,2025,1,16,1
19,2024-10-12,2024,10,12,4
20,2025-03-10,2025,3,10,1
21,2024-03-19,2024,3,19,1
22,2024-08-11,2024,8,11,3
23,2024-07-13,2024,7,13,3
24,2024-09-18,2024,9,18,3
25,2025-03-19,2025,3,19,1
26,2025-04-20,2025,4,20,2
27,2025-01-18,2025,1,18,1
28,2024-05-14,2024,5,14,2
29,2024-01-06,2024,1,6,1
30,2024-09-12,2024,9,12,3
31,2024-02-24,2024,2,24,1
32,2024-03-10,2024,3,10,1
33,2024-01-16,2024,1,16,1
34,2024-03-17,2024,3,17,1
35,2024-06-30,2024,6,30,2
36,2024-10-22,2024,10,22,4
37,2024-11-07,2024,11,7,4
38,2025-02-20,2025,2,20,1
39,2024-10-28,2024,10,28,4
40,2024-08-26,2024,8,26,3
41,2025-03-28,2025,3,28,1
42,2024-12-09,2024,12,9,4
43,2024-01-28,2024,1,28,1
44,2024-12-01,2024,12,1,4
45,2024-05-02,2024,5,2,2
46,2024-01-22,2024,1,22,1
47,2024-01-09,2024,1,9,1
48,2024-07-22,2024,7,22,3
49,2024-10-03,2024,10,3,4
50,2024-01-10,2024,1,10,1
51,2025-03-03,2025,3,3,1
52,2024-09-03,2024,9,3,3
53,2024-06-14,2024,6,14,2
54,2025-01-28,2025,1,28,1
55,2025-05-06,2025,5,6,2
56,2024-10-13,2024,10,13,4
57,2025-02-24,2025,2,24,1
58,2024-01-19,2024,1,19,1
59,2024-10-23,2024,10,23,4
60,2024-05-20,2024,5,20,2
61,2024-07-11,2024,7,11,3
62,2024-09-01,2024,9,1,3
63,2024-10-21,2024,10,21,4
64,2024-07-24,2024,7,24,3
65,2025-04-16,2025,4,16,2
66,2024-03-05,2024,3,5,1
67,2024-03-23,2024,3,23,1
68,2025-04-27,2025,4,27,2
69,2024-05-03,2024,5,3,2
70,2025-03-07,2025,3,7,1
71,2024-07-08,2024,7,8,3
72,2024-04-01,2024,4,1,2
73,2024-04-18,2024,4,18,2
74,2024-03-22,2024,3,22,1
75,2024-08-14,2024,8,14,3
76,2024-08-22,2024,8,22,3
77,2025-03-02,2025,3,2,1
78,2024-02-20,2024,2,20,1
79,2025-03-09,2025,3,9,1
80,2024-04-24,2024,4,24,2
81,2024-08-19,2024,8,19,3
82,2024-08-01,2024,8,1,3
83,2024-04-15,2024,4,15,2
84,2025-03-06,2025,3,6,1
85,2024-12-30,2024,12,30,4
86,2024-05-07,2024,5,7,2
87,2024-08-05,2024,8,5,3
88,2024-05-06,2024,5,6,2
89,2025-02-22,2025,2,22,1
90,2024-03-04,2024,3,4,1
91,2024-06-28,2024,6,28,2
92,2024-12-07,2024,12,7,4
93,2024-05-17,2024,5,17,2
94,2024-09-26,2024,9,26,3
95,2024-02-26,2024,2,26,1
96,2024-05-22,2024,5,22,2
97,2024-05-09,2024,5,9,2
98,2025-01-07,2025,1,7,1
99,2024-03-28,2024,3,28,1
